fecha,turno,employee_id,documento,moneda,importe,isla,autoriza
12/12/2018,1,7,269,S,500,3,C
12/12/2018,1,7,270,S,500,3,C
12/12/2018,1,7,271,S,500,3,C
12/12/2018,1,7,272,S,70,3,C
12/12/2018,2,4,273,S,310,3,
12/12/2018,2,4,274,S,470,3,
12/12/2018,2,4,275,S,260,3,
12/12/2018,2,4,276,S,410,3,
12/12/2018,2,4,277,S,200,3,
12/12/2018,2,4,278,S,200,3,
12/12/2018,2,4,279,S,170,3,
12/12/2018,3,5,280,S,410,3,conforme
13/12/2018,1,4,281,S,590,3,
13/12/2018,1,4,282,S,250,3,
13/12/2018,1,4,283,S,380,3,
13/12/2018,1,4,284,S,80,3,
13/12/2018,2,7,285,S,300,3,c
13/12/2018,2,7,286,S,500,3,c
13/12/2018,2,7,287,S,400,3,c
13/12/2018,3,3,288,S,200,3,si
